,id,author,abstract,booktitle,title,year,volume,number,pages,keywords,doi,ISSN,months,isbn,publisher,address,url,numpages,location,series
0,10.1145/2384716.2384763,Shams Imam,"We present CnC-Python (CP), an approach to implicit multicore parallelism based on Intel's Concurrent Collections model. CP enables programmers to achieve task, data and pipeline parallelism in a declarative fashion while only being required to describe the program as a coordination graph with serial Python code for individual nodes.","Proceedings of the 3rd Annual Conference on Systems, Programming, and Applications: Software for Humanity",CnC-Python: Multicore Programming with High Productivity,2012,,,111–112,"cnc-python, parallel programming, concurrent collections, python",10.1145/2384716.2384763,,,9781450315630,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2384716.2384763,2,"Tucson, Arizona, USA",SPLASH '12
1,10.1145/2635648.2635660,"Pedro Ramos, Antonio Leitao","Racket is a descendant of Scheme, a language that has been widely used to teach computer science. Recently, the Python language has taken over this role, mainly due to its huge standard library and the great number of third-party libraries available. Given that the development of equivalent libraries for Racket is an enormous task that cannot be currently done in an acceptable time frame, the next best option is to allow the Racket platform to use Python programs and libraries.We have been developing an implementation of Python for the Racket platform based on a source-to-source compiler. In order to provide good performance and good interoperability with the Racket platform, the runtime libraries are being implemented over Racket data-types. This, however, entails implementing all of Python's standard library on Racket and it does not provide access to popular Python libraries implemented using C module extensions (such as Numpy and SciPy).This paper presents an alternative approach that allows libraries from Python's reference implementation to be imported and used in our Racket implementation of Python, immediately providing access to all of Python's standard library and every third-party library, including NumPy and SciPy.The proposed solution involves importing Python module objects directly from Python's virtual machine, by calling the Python/C API through Racket's Foreign Function Interface, and converting them to objects usable by our Racket runtime libraries, making them compatible with the Racket platform.This compatibility layer therefore relies on relatively expensive foreign function calls to Python's libraries, but our performance tests show that the overhead introduced by them is quite low and, for most cases, it can be minimized in order to attain the same performance as Python's reference implementation.",Proceedings of ILC 2014 on 8th International Lisp Conference,Reaching Python from Racket,2014,,,32–38,"Interoperability, Racket, Python",10.1145/2635648.2635660,,,9781450329316,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2635648.2635660,7,"Montreal, QC, Canada",ILC '14
2,10.5555/2188385.2343710,"Tom De Smedt, Walter Daelemans","Pattern is a package for Python 2.4+ with functionality for web mining (Google + Twitter + Wikipedia, web spider, HTML DOM parser), natural language processing (tagger/chunker, n-gram search, sentiment analysis, WordNet), machine learning (vector space model, k-means clustering, Naive Bayes + k-NN + SVM classifiers) and network analysis (graph centrality and visualization). It is well documented and bundled with 30+ examples and 350+ unit tests. The source code is licensed under BSD and available from http://www.clips.ua.ac.be/pages/pattern.",,Pattern for Python,2012,13,null,2063–2067,"python, data mining, machine learning, graph networks, natural language processing",,1532-4435,June,,JMLR.org,,,5,,
3,10.1145/611892.611996,"Douglas Blank, Lisa Meeden, Deepak Kumar","This paper describes Pyro, a robotics programming environment designed to allow inexperienced undergraduates to explore topics in advanced robotics. Pyro, which stands for Python Robotics, runs on a number of advanced robotics platforms. In addition, programs in Pyro can abstract away low-level details such that individual programs can work unchanged across very different robotics hardware. Results of using Pyro in an undergraduate course are discussed.",Proceedings of the 34th SIGCSE Technical Symposium on Computer Science Education,Python Robotics: An Environment for Exploring Robotics beyond LEGOs,2003,,,317–321,"robotics, pedagogy, python",10.1145/611892.611996,,,158113648X,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/611892.611996,5,"Reno, Navada, USA",SIGCSE '03
4,10.1145/792548.611996,"Douglas Blank, Lisa Meeden, Deepak Kumar","This paper describes Pyro, a robotics programming environment designed to allow inexperienced undergraduates to explore topics in advanced robotics. Pyro, which stands for Python Robotics, runs on a number of advanced robotics platforms. In addition, programs in Pyro can abstract away low-level details such that individual programs can work unchanged across very different robotics hardware. Results of using Pyro in an undergraduate course are discussed.",,Python Robotics: An Environment for Exploring Robotics beyond LEGOs,2003,35,1,317–321,"python, robotics, pedagogy",10.1145/792548.611996,0097-8418,January,,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/792548.611996,5,,
5,10.5555/2503308.2343710,"Tom De Smedt, Walter Daelemans","Pattern is a package for Python 2.4+ with functionality for web mining (Google + Twitter + Wikipedia, web spider, HTML DOM parser), natural language processing (tagger/chunker, n-gram search, sentiment analysis, WordNet), machine learning (vector space model, k-means clustering, Naive Bayes + k-NN + SVM classifiers) and network analysis (graph centrality and visualization). It is well documented and bundled with 30+ examples and 350+ unit tests. The source code is licensed under BSD and available from http://www.clips.ua.ac.be/pages/pattern.",,Pattern for Python,2012,13,1,2063–2067,"data mining, natural language processing, machine learning, graph networks, python",,1532-4435,June,,JMLR.org,,,5,,
6,10.1145/3149869.3149874,"Breawn Schoun, Shane Transue, MinHyung Choi","Respiration monitoring is an important physiological measurement taken to determine the health of an individual. In clinical sleep studies, respiration activity is monitored to detect sleep disorders such as sleep apnea and respiratory conditions such as Chronic Obstructive Pulmonary Disease (COPD). Existing methods of respiration monitoring either place sensors on the patient's body, causing discomfort to the patient, or monitor respiration remotely with lower accuracy. We present a method of respiratory analysis that is non-contact, but also measures the exhaled air of a human subject directly through a medium-based exhale visualization technique. In this method, we place a thin medium perpendicular to the exhaled airflow of an individual, and use a thermal camera to record the heat signature from the exhaled breath on the opposite side of the material. Respiratory behaviors are extracted from the thermal data in real time using Python. Our prototype is an embedded, low-power device that performs image and signal processing in realtime with Python, making use of powerful existing Python modules for scientific computing and visualization. Our proposed respiration monitoring technique accurately reports breathing rate, and may provide other metrics not obtainable through other non-contact methods. This method can be useful for medical applications where long-term respiratory analysis is necessary, and for applications that require additional information about breathing behavior.",Proceedings of the 7th Workshop on Python for High-Performance and Scientific Computing,Real-Time Thermal Medium-Based Breathing Analysis with Python,2017,,,,"medium, thermal, Respiration, exhale, Python, medical",10.1145/3149869.3149874,,,9781450351249,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3149869.3149874,9,"Denver, CO, USA",PyHPC'17
7,10.1145/1734263.1734437,"Richard Enbody, William Punch","If you change the CS1 language to Python, what is the impact on the rest of the curriculum? In earlier work we examined the impact of changing CS1 from C++ to Python while leaving CS2 in C++. We found that Python-prepared CS1 students fared no differently in CS2 than students whose CS1 course was in C++, even though CS2 was taught in C++ and covered the same topics as in previous years. Was that an anomaly? What happens in the next tier of courses? When our CS1 was first changed to Python there were many students who had taken CS1 in C++ still in the system. The result is that there is a cadre of students with either CS1 in Python or CS1 in C++ moving together through our curriculum. This one-time occurrence is an opportunity to study the students with many variables fixed. Our next tier of courses is a C-based computer organization course, a C++ based object-oriented software design course, and a data structures course. We found that the students who started with Python fared as well as the CS1 C++ students. As before, the best predictor of performance was their college GPA. Python versus C++ CS1 preparation was not a predictor of performance in any course. We conclude again that in our C++ based curriculum changing CS1 to Python had no negative impact on student performance and did not require any significant change in those subsequent courses.",Proceedings of the 41st ACM Technical Symposium on Computer Science Education,Performance of Python CS1 Students in Mid-Level Non-Python CS Courses,2010,,,520–523,"python, introduction to programming, curriculum, cs1",10.1145/1734263.1734437,,,9781450300063,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/1734263.1734437,4,"Milwaukee, Wisconsin, USA",SIGCSE '10
8,10.1145/2617548.2617552,Gergo Barany,"The Python programming language is known for performing poorly on many tasks. While to some extent this is to be expected from a dynamic language, it is not clear how much each dynamic feature contributes to the costs of interpreting Python. In this study we attempt to quantify the costs of language features such as dynamic typing, reference counting for memory management, boxing of numbers, and late binding of function calls.We use an experimental compilation framework for Python that can make use of type annotations provided by the user to specialize the program as well as elide unnecessary reference counting operations and function lookups. The compiled programs run within the Python interpreter and use its internal API to implement language semantics. By separately enabling and disabling compiler optimizations, we can thus measure how much each language feature contributes to total execution time in the interpreter.We find that a boxed representation of numbers as heap objects is the single most costly language feature on numeric codes, accounting for up to 43% of total execution time in our benchmark set. On symbolic object-oriented code, late binding of function and method calls costs up to 30%. Redundant reference counting, dynamic type checks, and Python's elaborate function calling convention have comparatively smaller costs.",Proceedings of the Workshop on Dynamic Languages and Applications,Python Interpreter Performance Deconstructed,2014,,,1–9,"dynamic programming languages, reference counting, unboxing, Python, interpreters",10.1145/2617548.2617552,,,9781450329163,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/2617548.2617552,9,"Edinburgh, United Kingdom",Dyla'14
9,10.1145/3079368.3079370,Fabio Niephaus,"In this paper, we present how we integrated Python with a Smalltalk environment on interpreter level in order to be able to reuse concepts and tools from Smalltalk for Python development.","Companion to the First International Conference on the Art, Science and Engineering of Programming",Towards A Squeak/Smalltalk-Based Python IDE: An Interpreter-Level Integration of Python with Smalltalk,2017,,,,"IDE, Python, debugging, Smalltalk, interpreters",10.1145/3079368.3079370,,,9781450348362,Association for Computing Machinery,"New York, NY, USA",https://doi.org/10.1145/3079368.3079370,2,"Brussels, Belgium",Programming '17
